,cut1,cut2,cut3,cut4,cut5,w1,w2,w3,w4,w5
Car;N2,3.1559618,3.411652,3.805058,4.242697,4.758604,0.8967595,-0.10795855,-0.10081863,0.080779724,-0.009361417
Car;N3,3.363288,3.8214214,4.0291176,4.419308,4.489763,0.5495651,0.03258353,-0.59134454,0.2568436,-0.11516893
Car;N3+,3.008866,3.5618505,3.746287,4.5521626,4.5860276,1.7727869,0.014204585,-0.30773866,0.058557604,0.27770376
Car;Na,4.4689755,4.469394,4.52555,4.47221,4.6416254,0.67009324,0.57333124,0.44889826,0.4775342,0.39046136
Car;Nam,2.5904663,3.2830172,3.5566413,3.8692226,4.761635,0.526236,0.12578475,-0.096640356,0.105022475,0.035063133
Car;Nar,3.084844,3.4125767,3.8687372,4.2990417,4.6365623,-0.31082413,0.4220684,0.02398081,-0.05836481,-0.0014400128
Car;Ng+,2.8309999,3.246947,4.1171227,4.2156606,4.5253944,0.57033527,-0.28543955,-0.0028050183,0.22960077,0.0035681445
Car;Ni,3.2696862,3.4333334,3.62,3.8066666,3.9933333,-0.85598063,-0.060957663,0.0,0.0,0.0
Car;Nox,3.5626073,3.8608003,4.058143,4.3424253,4.747477,-0.39583132,-1.150571,-0.5164799,0.3960623,0.30088094
Car;Npl,3.3497703,3.565629,4.1097603,4.276022,4.468819,0.62031406,-0.09832208,-0.035217024,0.07267657,0.13231896
Car;Ntr,3.3915975,3.7996686,4.421342,4.453892,4.598338,-0.46000916,0.12136839,0.2618389,0.37368408,0.46332338
Car;O-,4.066761,4.2833343,4.4311547,4.5059466,4.8256397,0.57959956,-0.005665366,0.0041708164,0.37595117,0.37129238
Car;O.co2,3.0407186,3.4742713,4.0468245,4.222729,4.519223,0.21992466,-0.10714248,0.08676741,-0.06110181,-0.11384849
Car;O2,2.8515136,3.3616261,3.5407891,3.8561494,5.1427402,-0.047689147,0.09346927,0.012148664,-0.0017410155,0.037358318
Car;O3,2.9512737,3.5056279,3.3452623,4.1618824,4.4845133,-0.19556831,0.12622909,-0.035055827,-0.012532811,0.17903654
Car;P,3.5816667,3.8557875,4.159816,4.4495664,4.789525,2.1817617,0.25263244,1.4911593,-0.60064435,-0.006341123
Car;Pac,3.5388384,3.9107656,3.950076,4.5308623,4.8948913,1.8632742,-1.0621865,0.1477861,0.39254013,-0.6371007
Car;S2,3.6954916,3.8280745,4.612295,4.351408,4.5395584,0.16438991,-0.15944262,0.005217804,0.04999656,-0.3972568
Car;S3,3.4043498,3.6580215,4.113916,4.5512834,4.7172713,-0.33280215,0.2495116,-0.017236698,-0.0066533936,-0.18567406
Car;Sac,4.0529194,4.2649403,4.45086,4.5604706,4.8704715,0.9948592,1.3351343,0.4222447,-0.56237257,-0.13807406
