,cut1,cut2,cut3,cut4,cut5,cut6,cut7,w1,w2,w3,w4,w5,w6,w7
HO;S3,2.2547476,2.4738386,2.8679335,3.412246,3.584284,4.1513004,4.4510894,0.8906451,-0.53639126,1.6214327,0.41666636,-0.32937065,0.027692942,0.29322967
HO;Sac,2.9935846,3.4065704,3.658587,3.875,4.15375,4.2777686,4.8886137,-0.8532924,-1.0994091,-1.0721434,-0.7498578,0.0,-0.69460195,-1.3017462
HO;So2,2.6643507,2.9116669,3.1793213,3.4232967,3.8208466,4.2664886,4.8786073,0.9276749,-0.11545626,0.468997,2.4437637,0.26673788,-0.50781363,-0.25186992
HO;Sox,3.2599854,3.4846716,3.74875,3.955,4.16125,4.3675,4.57375,0.14775641,0.19467247,-0.11744856,0.0,0.0,0.0,0.0
HO;Zn,1.484376,1.9909543,2.450332,2.9009917,3.6775045,4.1677403,4.41763,0.9546309,-0.544745,-0.32463974,0.42741942,0.012064451,-0.19556512,1.8858796
I;N3+,3.345427,3.346609,3.3549018,3.562311,3.355398,3.5837011,3.6153378,-0.50305814,-0.44955757,0.2737725,0.33812994,0.118890405,0.4056901,-0.032725465
I;Nam,3.7282915,4.0631614,4.1456084,4.3149505,4.4848275,4.555312,4.762977,0.07064608,0.1681049,0.11486193,0.10877219,0.006764382,-0.3025516,-0.44944698
I;Ng+,4.224044,4.1113014,4.457737,4.586179,4.6218534,4.7990723,4.851006,0.06018142,-0.10525257,0.40516868,0.21834384,0.42717934,0.4997017,0.16944921
I;O.co2,4.215493,4.3096128,4.399052,4.5110364,4.5529723,4.5944996,4.8974037,0.17211334,-0.15297104,-0.24432936,0.03449569,-0.0264762,0.30125993,0.271285
I;O2,3.2580924,3.4712813,3.7576063,3.9682577,4.27897,4.623125,4.8501067,-0.25224313,-0.1579371,0.1685937,0.28710777,-0.055965565,-0.45032305,-0.417514
I;O3,3.01125,3.2825,3.491363,3.5488954,4.052034,4.3675,4.687091,0.31134728,0.0,-0.12915985,-0.6784526,-0.67510235,-1.1028103,-0.1207126
I;S3,3.8113527,3.8314116,4.2594686,4.3489356,4.3557167,4.5979185,4.830806,1.4624208,-0.8011547,-0.2993445,-0.5779805,-0.48536694,-0.6770254,-0.6309147
K;N3+,5.0180416,5.0317817,5.0194707,4.738248,5.0173564,5.025172,4.684907,-1.0884134,-0.26353467,-0.16276376,-0.035301626,0.037922837,-0.07953313,-0.03283441
K;Nar,3.15875,3.3575,3.55625,3.755,3.95375,4.1525,4.35125,-0.24453242,0.0,0.0,0.0,0.0,0.0,0.0
K;O2,4.446109,4.164703,4.341012,4.167751,4.5091414,4.6168933,4.6574697,-0.260625,0.25649947,-0.0991856,0.09329579,-0.39086062,-0.47616944,-0.64277303
Mg;N2,2.9392803,2.5664558,2.709857,2.9366045,2.7238338,2.6727138,2.9501266,0.6030887,0.17121646,0.52916825,0.5033165,0.30444443,0.29443803,0.51306164
Mg;N3,3.5273318,3.8306355,3.8444886,4.170549,4.32375,4.3883233,4.749965,0.45307696,-2.3997264,0.35995686,0.4571656,0.002761197,0.877232,1.529045
Mg;N3+,4.4579387,4.6535378,4.1643486,4.5426855,4.7158027,4.700118,4.7786508,-1.0052053,-0.62712675,-0.22572696,-0.428729,-1.2234507,-1.8808622,-1.8596376
Mg;Nam,2.8122377,3.1880472,3.49125,3.755,3.9456494,4.3568525,4.514331,0.94282275,-0.25552633,-0.26637626,0.0,-0.11014818,-1.424219,-0.7728064
Mg;Nar,3.843981,3.8961167,3.9077857,4.276501,4.528699,4.455007,4.6222787,-1.1228672,-0.20987555,-0.91246396,-1.985391,-2.2604105,-2.2076886,-1.3929331
Mg;Npl,3.9784663,4.065,4.1221213,4.388976,4.6958847,4.750644,4.7904167,0.93961537,0.09917459,0.6337155,1.1023564,0.87982935,0.6129093,0.08012948
Mg;O2,1.8398302,2.0363357,2.8869348,2.8854015,3.4661252,4.0334783,4.635385,-0.3771676,0.3713398,0.33542863,-0.14609188,-0.7183407,-0.08628079,-0.45390946
Mg;O3,2.428451,2.7320707,3.1261127,3.260816,4.2143364,4.345142,4.506097,-0.36391753,0.024911292,0.53711236,0.07070234,1.0046965,0.9445454,0.48617536
Mg;P,3.0764441,3.622518,3.8236587,4.065244,4.4105244,4.3373027,4.7603483,-0.82134527,-0.31648538,0.60788715,2.916702,-0.24978416,-0.35708266,-1.4926573
Mg;Pac,3.06214,3.0652483,3.6109953,3.7284625,4.0071774,4.2990694,4.7556458,-0.6562984,-0.031434633,0.44972408,-0.3845092,-2.026563,1.1270843,1.7219745
Mg;S2,4.23497,4.453428,4.4928,4.2411857,4.501287,4.2383165,4.538704,0.20732224,0.16366361,0.073740065,-0.13102777,0.17241804,-0.14071064,0.16634469
Mg;S3,4.088488,4.345661,4.455863,4.505,4.58125,4.59649,4.9834266,-1.6601683,-2.1063995,-1.3055538,-0.22392046,0.0,0.08066511,-0.7263766
